ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date,Monitor Name(s),Daylight Hours,Temperature Low (F),Temperature High (F),Soil Moisture (%),Inundation Treatment,Replicate,Species,Other - Species,Population,Other - Population,Density Treatment,Plant ID,Phenological Stage,Other - Phenological Stage,Notes,Water Level (cm),Plant ID,x,y
1,b869ec2b-ebf2-4f4f-9940-5d90b4f00103,4/5/2023 9:17:14 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:17:03 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,D,1,DEFA,,A,,5+5,0,other,Soil moisture ,,0,,-119.843433217612,34.4130286404104
2,2bac7216-cf4c-41ec-96fb-7ba78cd98ad9,4/6/2023 7:15:39 PM,richardhettish@umail.ucsb.edu_ucsb,4/30/2023 10:38:35 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Ricky and Faiaz,12.75,47,64,51.5,D,1,DEFA,,A,,5,0,other,Soil moisture,,0,0,-119.843451434479,34.4131168505446
3,d184315f-ea51-460d-85da-a1b08cdf11a6,4/6/2023 8:42:28 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:16:57 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,D,1,ELMA,,DC,,5+5,1,Germinated,,,0,FEPE1,-119.843452402713,34.4130584452723
4,bea37ac8-4ebd-45d7-846e-484b2656f66e,4/6/2023 8:42:30 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:16:55 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,53.5,D,1,ELMA,,IV,,5,,other,Soil moisture ,,0,0,-119.843503074427,34.4130399004023
5,847e2642-d91d-41ef-9c02-6ea0b2753ac8,4/6/2023 8:42:36 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:16:54 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,52,D,1,JUBU,,IV,,5,,Germinated,,,0,JUBU1,-119.843494679835,34.4130501658623
6,96039540-48bb-49df-a387-95b4ebca364f,4/6/2023 8:42:37 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:16:51 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,55.5,D,1,DEFA,,CP,,10,,other,Soil moisture ,,0,0,-119.843525818024,34.4130353934827
7,a4029bdc-7470-4659-8567-6ebd339d5638,4/6/2023 8:42:38 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:16:49 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,D,1,DEFA,,M,,5+5,,other,Soil moisture ,,0,0,-119.843501230405,34.4130471663569
8,a7a9c784-0b47-4310-853c-0dcb3fffc196,4/6/2023 8:42:39 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:56 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,D,1,DEFA,,A,,10,,other,Soil moisture ,,0,0,-119.843511744687,34.4130512099223
9,fa7c371d-e545-43e2-939c-d42bc9dcfc95,4/6/2023 8:42:40 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:53 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,D,1,DEFA,,M,,5,,other,Soil moisture ,,0,0,-119.843501174804,34.4130380021008
10,6ad3d75c-4cfd-4f5f-9f2e-4b04d1591825,4/6/2023 8:42:46 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:52 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,52.5,D,1,JUBU,,M,,5,,other,Soil moisture ,,0,JUBU1,-119.843524873838,34.4130301968996
11,4e467c7f-913b-4ef5-9ff9-aff834c32acb,4/6/2023 8:42:47 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:50 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,D,1,ELMA,,DC,,5,,other,Soil moisture ,,0,0,-119.843517837514,34.4130349579677
12,c71d9b2c-707c-4047-a346-81f30f5eb1a5,4/6/2023 8:42:48 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:48 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,D,1,DEFA,,CP,,5+5,,other,Soil moisture ,,0,0,-119.843453315395,34.4130651359979
13,268559d5-7d53-459f-aeb7-bbdbc133e027,4/6/2023 8:42:53 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:19 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,D,1,DEFA,,CP,,5+5,,Germinated,,,0,DICOT1,-119.843432822404,34.4130581920749
14,f1623973-5aa3-4cf4-b211-962dfa067720,4/6/2023 8:42:55 PM,fhasan@umail.ucsb.edu_ucsb,4/6/2023 9:14:17 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,53.5,D,1,ELMA,,IV,,5,,Germinated,,,0,DICOT1,-119.84343220759,34.4130591259574
15,d82128f7-894d-4dfc-a79d-a7018ab6c4c5,4/6/2023 8:42:56 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:30:27 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50,D,1,DEFA,,IV,,5,,other,Soil moisture,,0,0,-119.843438285178,34.4130591214025
16,38b36c91-b61b-4e3a-8fb2-71b7e2991142,4/6/2023 8:42:57 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:28:20 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,D,1,ELMA,,IV,,10,,other,Soil moisture,,0,0,-119.843435274351,34.4130555204861
17,709bf44b-bd9c-43c8-b3ce-741216122c95,4/6/2023 8:42:58 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:29:55 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,D,1,JUBU,,M,,5+5,,other,Soil moisture,,0,0,-119.843434900363,34.4130592378156
18,6b1bd333-cdd7-4a88-b4f1-2b5cb9a74fe0,4/6/2023 8:42:59 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:29:21 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51.5,D,1,JUBU,,M,,5,,other,Soil moisture,,0,0,-119.843453364946,34.4130485624699
19,e169b97b-a12f-4d51-a3b9-9413ebb767c2,4/6/2023 8:42:59 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:28:53 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,51,D,1,JUBU,,IV,,10,,other,Soil moisture,,0,0,-119.843447047999,34.4130482485564
20,a6cfbc48-0c64-48f7-a2eb-99d57c0c42c0,4/6/2023 8:43:00 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:27:37 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,D,1,DEFA,,M,,10,,other,Soil moisture,,0,0,-119.843463190615,34.4130518570125
21,b21b6be8-e765-41be-b17d-66282846cef6,4/6/2023 8:43:01 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:27:08 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49.5,D,1,JUBU,,A,,5,,other,Soil moisture,,0,0,-119.84347532364,34.4130512697196
22,0c9ac975-35b5-4e55-a60c-23aa81c6743c,4/6/2023 8:43:01 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:26:36 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,49,D,1,DEFA,,IV,,5+5,,other,Soil moisture,,0,0,-119.843467033575,34.4130503877266
23,a7e7ff02-2995-4e6f-90f7-8b6a2458b897,4/6/2023 8:43:03 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:26:06 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,50.5,D,1,ELMA,,CP,,5+5,,other,Soil moisture,,0,0,-119.843455814835,34.4130497651329
24,f22e605d-1f03-49a3-bc9c-53aded9ab7f2,4/6/2023 8:43:04 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:25:41 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,48,D,1,ELMA,,M,,10,,other,Soil moisture,,0,0,-119.843468693168,34.4130526523775
25,84f13029-5963-4b6c-af67-8af793746078,4/6/2023 8:43:04 PM,fhasan@umail.ucsb.edu_ucsb,4/30/2023 11:25:11 PM,joannatang@umail.ucsb.edu_ucsb,4/5/2023 7:00:00 PM,Fez and Ricky,12.75,47,64,52.5,D,1,JUBU,,M,,10,,other,Soil moisture,,0,0,-119.843460223693,34.4130779894326
